 0.57811E+10 0.00000E+00 0.27636E+10    15000      530    4        6 0.104E-08
   2    0.31046E+10    0.93456E+09    0.13462E+02    0.12353E+13
   3    0.47689E+10    0.16737E+10    0.22197E+02    0.56307E+13
   4    0.21524E+11    0.13899E+11    0.57756E+02    0.10938E+15
