 0.12161E+02 0.00000E+00 0.92883E-01  2040000    62559    8     3563 0.293E+03
   6    0.12219E+02    0.25753E+00    0.10664E+02    0.39917E+05
   7    0.12339E+02    0.18239E+00    0.10577E+02    0.33359E+05
   8    0.12070E+02    0.11884E+00    0.99636E+01    0.52450E+05
