 0.16116E+11 0.00000E+00 0.19341E+09  2040000    67433    8     6655 0.413E-06
   6    0.15800E+11    0.24269E+09    0.77715E+01    0.20018E+14
   7    0.16304E+11    0.22585E+09    0.99117E+01    0.40284E+14
   8    0.16555E+11    0.58108E+09    0.35519E+02    0.56377E+15
