 0.12134E+02 0.00000E+00 0.62327E-01  2040000    70502    8     4431 0.365E+03
   6    0.12091E+02    0.16241E+00    0.67961E+01    0.88519E+04
   7    0.12025E+02    0.11216E+00    0.66740E+01    0.10271E+05
   8    0.12206E+02    0.84499E-01    0.70054E+01    0.13134E+05
