 0.38415E+12 0.16212E+10 0.00000E+00  2040000    62413    8     7738 0.201E-07
   6    0.38486E+12    0.47692E+10    0.62699E+01    0.58691E+15
   7    0.38301E+12    0.29887E+10    0.55836E+01    0.43194E+15
   8    0.38457E+12    0.21102E+10    0.55526E+01    0.29537E+15
