 0.15210E+11 0.00000E+00 0.82981E+08  2040000   100000    8    10679 0.702E-06
   6    0.15142E+11    0.18980E+09    0.63424E+01    0.10024E+14
   7    0.15258E+11    0.16219E+09    0.76061E+01    0.23101E+14
   8    0.15210E+11    0.11219E+09    0.74638E+01    0.31439E+14
