 0.30471E+14 0.00000E+00 0.55624E+14  2040000     1631    8      268 0.880E-11
   6    0.54630E+13    0.45185E+13    0.41849E+03    0.11458E+19
   7    0.34506E+14    0.26478E+14    0.54908E+03    0.12777E+20
   8    0.50613E+14    0.41678E+14    0.83328E+03    0.42079E+20
