 0.11265E+02 0.00000E+00 0.53107E-01  2040000   100000    8     3774 0.335E+03
   6    0.11289E+02    0.13072E+00    0.58589E+01    0.59100E+04
   7    0.11268E+02    0.10466E+00    0.66465E+01    0.17797E+05
   8    0.11257E+02    0.69884E-01    0.62819E+01    0.12959E+05
